bidding_exercise,category,month,year,quota_premium,adjusted_premium
1,Cat A: ≤1600cc or ≤97kW,Jul,2023,97000,99282.50478500733
1,Cat B: >1600cc or >97kW,Jul,2023,118002,120778.70236742716
1,Cat C: Buses,Jul,2023,82223,84157.78753543977
1,Cat D: Motorcycles,Jul,2023,10090,10327.427559595091
2,Cat A: ≤1600cc or ≤97kW,Jun,2023,96206,98688.0032825563
2,Cat B: >1600cc or >97kW,Jun,2023,121000,124121.6597425245
2,Cat C: Buses,Jun,2023,83140,85284.91562804535
2,Cat D: Motorcycles,Jun,2023,10709,10985.27978663384
1,Cat A: ≤1600cc or ≤97kW,Jun,2023,98001,100529.31220187721
1,Cat B: >1600cc or >97kW,Jun,2023,120702,123815.971687952
1,Cat C: Buses,Jun,2023,81801,83911.3709801508
1,Cat D: Motorcycles,Jun,2023,11001,11284.813048161255
2,Cat A: ≤1600cc or ≤97kW,May,2023,92000,94823.85438354187
2,Cat B: >1600cc or >97kW,May,2023,113034,116503.47343901382
2,Cat C: Buses,May,2023,77501,79879.82107150955
2,Cat D: Motorcycles,May,2023,10602,10927.418523633814
1,Cat A: ≤1600cc or ≤97kW,May,2023,101001,104101.13170208818
1,Cat B: >1600cc or >97kW,May,2023,119399,123063.84119065778
1,Cat C: Buses,May,2023,75589,77909.1340108429
1,Cat D: Motorcycles,May,2023,5002,5155.531735070396
2,Cat A: ≤1600cc or ≤97kW,Apr,2023,103721,106488.63974702518
2,Cat B: >1600cc or >97kW,Apr,2023,120889,124114.7421484379
2,Cat C: Buses,Apr,2023,75334,77344.1751111385
2,Cat D: Motorcycles,Apr,2023,12179,12503.978398579071
1,Cat A: ≤1600cc or ≤97kW,Apr,2023,96501,99075.98484615148
1,Cat B: >1600cc or >97kW,Apr,2023,118501,121663.02194022649
1,Cat C: Buses,Apr,2023,76801,78850.31981191158
1,Cat D: Motorcycles,Apr,2023,12001,12321.228734817918
2,Cat A: ≤1600cc or ≤97kW,Mar,2023,93503,96759.9395657843
