"bidding_exercise","category","month","year","quota_premium","quota"
"2","Cat B: >1600cc or >97kW","Aug",2023,129890,478
"2","Cat C: Buses","Aug",2023,82801,114
"2","Cat D: Motorcycles","Aug",2023,11402,495
"1","Cat A: ≤1600cc or ≤97kW","Aug",2023,99499,632
"1","Cat B: >1600cc or >97kW","Aug",2023,126889,470
"1","Cat C: Buses","Aug",2023,82100,122
"1","Cat D: Motorcycles","Aug",2023,11501,522
"2","Cat A: ≤1600cc or ≤97kW","Jul",2023,95202,581
"2","Cat B: >1600cc or >97kW","Jul",2023,118001,462
"2","Cat C: Buses","Jul",2023,82001,69
"2","Cat D: Motorcycles","Jul",2023,10501,551
"1","Cat A: ≤1600cc or ≤97kW","Jul",2023,97000,588
"1","Cat B: >1600cc or >97kW","Jul",2023,118002,471
"1","Cat C: Buses","Jul",2023,82223,77
"1","Cat D: Motorcycles","Jul",2023,10090,579
"2","Cat A: ≤1600cc or ≤97kW","Jun",2023,96206,586
"2","Cat B: >1600cc or >97kW","Jun",2023,121000,454
"2","Cat C: Buses","Jun",2023,83140,71
"2","Cat D: Motorcycles","Jun",2023,10709,551
"1","Cat A: ≤1600cc or ≤97kW","Jun",2023,98001,581
"1","Cat B: >1600cc or >97kW","Jun",2023,120702,454
"1","Cat C: Buses","Jun",2023,81801,68
"1","Cat D: Motorcycles","Jun",2023,11001,555
"2","Cat A: ≤1600cc or ≤97kW","May",2023,92000,596
"2","Cat B: >1600cc or >97kW","May",2023,113034,480
"2","Cat C: Buses","May",2023,77501,72
"2","Cat D: Motorcycles","May",2023,10602,571
"1","Cat A: ≤1600cc or ≤97kW","May",2023,101001,474
"1","Cat B: >1600cc or >97kW","May",2023,119399,410
"1","Cat C: Buses","May",2023,75589,68
"1","Cat D: Motorcycles","May",2023,5002,554
"2","Cat A: ≤1600cc or ≤97kW","Apr",2023,103721,507
"2","Cat B: >1600cc or >97kW","Apr",2023,120889,430
"2","Cat C: Buses","Apr",2023,75334,51
"2","Cat D: Motorcycles","Apr",2023,12179,465
"1","Cat A: ≤1600cc or ≤97kW","Apr",2023,96501,515
"1","Cat B: >1600cc or >97kW","Apr",2023,118501,430
"1","Cat C: Buses","Apr",2023,76801,47
"1","Cat D: Motorcycles","Apr",2023,12001,466
"2","Cat A: ≤1600cc or ≤97kW","Mar",2023,93503,510
"2","Cat B: >1600cc or >97kW","Mar",2023,116201,466
"2","Cat C: Buses","Mar",2023,85389,50
"2","Cat D: Motorcycles","Mar",2023,12001,490
"1","Cat A: ≤1600cc or ≤97kW","Mar",2023,88000,517
"1","Cat B: >1600cc or >97kW","Mar",2023,115501,431
"1","Cat C: Buses","Mar",2023,91101,43
"1","Cat D: Motorcycles","Mar",2023,12390,467
"2","Cat A: ≤1600cc or ≤97kW","Feb",2023,86556,508
"2","Cat B: >1600cc or >97kW","Feb",2023,115001,436
"2","Cat C: Buses","Feb",2023,87790,47
"2","Cat D: Motorcycles","Feb",2023,12189,479
"1","Cat A: ≤1600cc or ≤97kW","Feb",2023,86000,509
"1","Cat B: >1600cc or >97kW","Feb",2023,105524,430
"1","Cat C: Buses","Feb",2023,85119,44
"1","Cat D: Motorcycles","Feb",2023,11602,477
"2","Cat A: ≤1600cc or ≤97kW","Jan",2023,86000,459
"2","Cat B: >1600cc or >97kW","Jan",2023,105459,408
"2","Cat C: Buses","Jan",2023,77109,78
"2","Cat D: Motorcycles","Jan",2023,11101,445
"1","Cat A: ≤1600cc or ≤97kW","Jan",2023,80000,462
"1","Cat B: >1600cc or >97kW","Jan",2023,102002,410
"1","Cat C: Buses","Jan",2023,77301,70
"1","Cat D: Motorcycles","Jan",2023,10890,445
"2","Cat A: ≤1600cc or ≤97kW","Dec",2022,88007,473
"2","Cat B: >1600cc or >97kW","Dec",2022,108006,409
